year,title,doi,type,authors,journal,number,total.citations,cid,pubid,ImpactFactor,CiteScore,jcrRankCat,jcrRank,csRankCat,csRank,url,rg,arxiv,psyarxiv,data,code,journalShort,first,country
2021,A Mixed-Reality Approach to Soundscape Assessment of Outdoor Urban Environments Augmented with Natural Sounds,10.1016/j.buildenv.2021.107688,Article,"JY Hong, B Lam, ZT Ong, K Ooi, WS Gan, J Kang, S Yeong, I Lee, ST Tan",building and environment,"194, 107688",37,1544853165854553142,k_IJM867U9cC,7.4,11.3,Civ Eng,6/139,Civ Struct Eng,17/350,https://hdl.handle.net/10356/146637,NA,NA,NA,https://doi.org/10.21979/N9/KE0901,NA,Build Environ,0,
2021,Optimal Penalty Factor for The Mov-Fxlms Algorithm in Active Noise Control System,10.1109/LSP.2021.3126198,Article,"D Shi, WS Gan, B Lam, X Shen",ieee signal processing letters,"29, 85-89",15,4676377923869889543,RGFaLdJalmkC,3.9,6.2,Electr Electron Eng,100/275,Appl Math,54/609,NA,NA,NA,NA,NA,NA,IEEE Signal Proc Lett,0,
2021,Development of A Feedback Interface for In-Situ Soundscape Evaluation,10.3397/IN-2021-2084,Proceedings Paper,"FA Karnapi, B Lam, T Wong, K Ooi, ZT Ong, WS Gan, J Hong, S Yeong",inter-noise and noise-con congress and conference proceedings,"263 (4), 2253-2258",2,8630214701847063118,ns9cj8rnVeAC,NA,NA,NA,NA,NA,NA,NA,https://www.researchgate.net/publication/353581329_Development_of_a_feedback_interface_for_in-situ_soundscape_evaluation,NA,NA,NA,NA,"INTERNOISE NOISE-CON Congr  Conf Proceedings, InterNoise21",0,"Washington, DC, USA"
2021,Assessment of Inter-Ic Sound Microelectromechanical Systems Microphones for Soundscape Reporting,10.3397/IN-2021-2086,Proceedings Paper,"T Wong, B Lam, FA Karnapi, K Ooi, WS Gan",inter-noise and noise-con congress and conference proceedings,"263 (4), 2259-2269",0,NA,GnPB-g6toBAC,NA,NA,NA,NA,NA,NA,NA,https://www.researchgate.net/publication/353581429_Assessment_of_inter-IC_sound_microelectromechanical_systems_microphones_for_soundscape_reporting,NA,NA,NA,NA,"INTERNOISE NOISE-CON Congr  Conf Proceedings, InterNoise21",0,"Washington, DC, USA"
2021,Perceptual Assessment of Operation Noises of Equipment on Construction Sites,NA,Proceedings Paper,"JY Hong, B Lam, ZT Ong, K Ooi, WS Gan, SC Lee",euronoise,,0,NA,NaGl4SEjCO4C,NA,NA,NA,NA,NA,NA,NA,https://www.researchgate.net/publication/359310096_Perceptual_assessment_of_operation_noises_of_equipment_on_construction_sites,NA,NA,NA,NA,Euronoise 2021,0,"Madeira, Portugal"
2021,A scoping review of soundscape augmentation techniques,10.17605/OSF.IO/MEHT6,Registrations,"K Ooi, B Lam, KN Watcharasupat, WS Gan, JY Hong, J Kang",osf,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OSF,0,
2021,Active control of airborne noise from heavy and auxiliary equipment in construction: A scoping review,10.17605/OSF.IO/8D5AM,Registrations,"B Lam, D Shi, DH Nguyen",osf,,0,NA,YFjsv_pBGBYC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OSF,1,
2020,Feedforward Selective Fixed-Filter Active Noise Control: Algorithm And Implementation,10.1109/TASLP.2020.2989582,Article,"D Shi, WS Gan, B Lam, S Wen","ieee/acm transactions on audio, speech, and language processing","28, 1479-1492",74,4111666544962152096,TQgYirikUcIC,5.4,10.1,Acoust,Mar-31,Comput Math,5/172,NA,NA,NA,NA,NA,NA,IEEE T Acoust Speech,0,
2020,Feedforward Multichannel Virtual-Sensing Active Control of Noise Through an Aperture: Analysis on Causality And Sensor-Actuator Constraints,10.1121/10.0000515,Article,"D Shi, WS Gan, B Lam, R Hasegawa, Y Kajikawa",the journal of the acoustical society of america,"147 (1), 32-48",37,18021080133173251006,#NAME?,2.4,4.4,Acoust,Dec-31,Acoust Ultrason,Nov-41,NA,NA,NA,NA,NA,NA,J Acoust Soc Am,0,
2020,Active Control of Low-Frequency Noise Through a Single Top-Hung Window in A Full-Sized Room,10.3390/app10196817,Article,"B Lam, D Shi, V Belyi, S Wen, WS Gan, K Li, I Lee",applied sciences,"10 (19), 6817",25,3833380937988354700,4JMBOYKVnBMC,2.7,2.5,Multidiscip Eng,42/90,Gen Eng,73/302,https://hdl.handle.net/10356/146185,NA,NA,NA,NA,NA,Appl Sci-Basel,1,
2020,Active Control of Broadband Sound Through the Open Aperture of A Full-Sized Domestic Window,10.1038/s41598-020-66563-z,Article,"B Lam, D Shi, WS Gan, SJ Elliott, M Nishimura",scientific reports,"10 (1), 1-7",71,9335992226148198507,R3hNpaxXUhUC,4.6,7.5,Multidiscip Sci,22/73,Multidiscip,11/134,https://hdl.handle.net/10356/146090,NA,NA,NA,NA,NA,Sci Rep-UK,1,
2020,"Quality Assessment of Acoustic Environment Reproduction Methods for Cinematic Virtual Reality in Soundscape Applications (Vol 149, Pg 1, 2019)",10.1016/j.buildenv.2020.106830,Article,"JY Hong, B Lam, ZT Ong, K Ooi, WS Gan, J Kang, J Feng, ST Tan",building and environment,176,0,NA,e5wmG9Sq2KIC,7.4,11.3,Civ Eng,6/139,Civ Struct Eng,17/350,NA,NA,NA,NA,NA,NA,Build Environ,0,
2020,Effects of Contexts in Urban Residential Areas on The Pleasantness And Appropriateness of Natural Sounds,10.1016/j.scs.2020.102475,Article,"JY Hong, B Lam, ZT Ong, K Ooi, WS Gan, J Kang, S Yeong, I Lee, ST Tan",sustainable cities and society,"63, 102475",41,9936793238963034162,RHpTSmoSYBkC,11.7,18.4,Constr Build Technol,Jan-68,Civ Struct Eng,2/350,NA,NA,NA,NA,NA,NA,Sustain Cities Soc,0,
2020,The Effects of Spatial Separations Between Water Sound And Traffic Noise Sources on Soundscape Assessment,10.1016/j.buildenv.2019.106423,Article,"JY Hong, B Lam, ZT Ong, K Ooi, WS Gan, J Kang, S Yeong, I Lee, ST Tan",building and environment,"167, 106423",37,5655641523359710845,L8Ckcad2t8MC,7.4,11.3,Civ Eng,6/139,Civ Struct Eng,17/350,NA,https://www.researchgate.net/publication/336062298_The_effects_of_spatial_separations_between_water_sound_and_traffic_noise_sources_on_soundscape_assessment,NA,NA,NA,NA,Build Environ,0,
