year,title,doi,type,authors,journal,number,total.citations,cid,pubid,ImpactFactor,CiteScore,url,rg,arxiv,psyarxiv,data,code,journalShort,first
2019,Quality Assessment of Acoustic Environment Reproduction Methods for Cinematic Virtual Reality in Soundscape Applications,10.1016/j.buildenv.2018.12.004,Article,"JY Hong, B Lam, ZT Ong, K Ooi, WS Gan, J Kang, J Feng, ST Tan",building and environment,"149, 1-14",100,2.62E+18,YOwf2qJgpHMC,7.4,11.3,https://hdl.handle.net/10356/88359,https://www.researchgate.net/publication/329460720_Quality_assessment_of_acoustic_environment_reproduction_methods_for_cinematic_virtual_reality_in_soundscape_applications,NA,NA,NA,NA,Build Environ,0
2021,A Mixed-Reality Approach to Soundscape Assessment of Outdoor Urban Environments Augmented with Natural Sounds,10.1016/j.buildenv.2021.107688,Article,"JY Hong, B Lam, ZT Ong, K Ooi, WS Gan, J Kang, S Yeong, I Lee, ST Tan",building and environment,"194, 107688",22,1.54E+18,k_IJM867U9cC,7.4,11.3,https://hdl.handle.net/10356/146637,NA,NA,NA,https://doi.org/10.21979/N9/KE0901,NA,Build Environ,0
2020,Effects of Contexts in Urban Residential Areas on The Pleasantness And Appropriateness of Natural Sounds,10.1016/j.scs.2020.102475,Article,"JY Hong, B Lam, ZT Ong, K Ooi, WS Gan, J Kang, S Yeong, I Lee, ST Tan",sustainable cities and society,"63, 102475",18,9.94E+18,RHpTSmoSYBkC,11.7,18.4,NA,NA,NA,NA,NA,NA,Sustain Cities Soc,0
2020,The Effects of Spatial Separations Between Water Sound And Traffic Noise Sources on Soundscape Assessment,10.1016/j.buildenv.2019.106423,Article,"JY Hong, B Lam, ZT Ong, K Ooi, WS Gan, J Kang, S Yeong, I Lee, ST Tan",building and environment,"167, 106423",24,5.66E+18,L8Ckcad2t8MC,7.4,11.3,NA,https://www.researchgate.net/publication/336062298_The_effects_of_spatial_separations_between_water_sound_and_traffic_noise_sources_on_soundscape_assessment,NA,NA,NA,NA,Build Environ,0
2022,A Multidimensional Assessment of Construction Machinery Noises Based on Perceptual Attributes And Psychoacoustic Parameters,10.1016/j.autcon.2022.104295,Article,"JY Hong, B Lam, ZT Ong, K Ooi, WS Gan, S Lee",automation in construction,"140, 104295",4,7.49E+18,2P1L_qKh6hAC,10.3,16.7,https://hdl.handle.net/10356/159243,NA,NA,NA,NA,NA,Automat Constr,0
2017,Spatial Audio for Soundscape Design: Recording And Reproduction,10.3390/app7060627,Article,"JY Hong, J He, B Lam, R Gupta, WS Gan",applied sciences,"7 (6), 627",93,9.34E+18,WF5omc3nYNoC,2.7,2.5,NA,NA,NA,NA,NA,NA,Appl Sci-Basel,0
2020,Effects of Adding Natural Sounds to Urban Noises on The Perceived Loudness of Noise And Soundscape Quality,10.1016/j.scitotenv.2019.134571,Article,"JY Hong, ZT Ong, B Lam, K Ooi, WS Gan, J Kang, J Feng, ST Tan",science of the total environment,"711, 134571",64,1.14E+19,ZeXyd9-uunAC,9.8,16.8,https://europepmc.org/article/med/32000311,NA,NA,NA,NA,NA,Sci Total Environ,0
2022,Singapore Soundscape Site Selection Survey (S5): Identification of Characteristic Soundscapes of Singapore Via Weighted K-Means Clustering,10.3390/su14127485,Article,"K Ooi, B Lam, JY Hong, KN Watcharasupat, ZT Ong, WS Gan",sustainability,"14 (12), 7485",1,1.72E+19,M05iB0D1s5AC,3.9,5.8,NA,NA,https://doi.org/10.3390/su14127485,NA,https://doi.org/10.21979/N9/BBBPMO,https://github.com/ntudsp/singapore-soundscape-site-selection-survey,Sustainability-Basel,0
2021,Automation of Binaural Headphone Audio Calibration on An Artificial Head,10.1016/j.mex.2021.101288,Article,"K Ooi, Y Xie, B Lam, WS Gan",methodsx,"8, 101288",10,1.38E+19,maZDTaKrznsC,1.9,3.5,https://hdl.handle.net/10356/152884,NA,NA,NA,https://doi.org/10.21979/N9/0KYIAU,NA,Methodsx,0
2023,Araus: A Large-Scale Dataset And Baseline Models of Affective Responses to Augmented Urban Soundscapes,10.1109/TAFFC.2023.3247914,Article,"K Ooi, ZT Ong, KN Watcharasupat, B Lam, JY Hong, WS Gan",ieee transactions on affective computing,,4,1.56E+19,pqnbT2bcN3wC,11.2,16.3,NA,NA,https://doi.org/10.48550/arXiv.2207.01078,NA,https://doi.org/10.21979/N9/9OTEVX,https://github.com/ntudsp/araus-dataset-baseline-models,IEEE T Affect Comput,0
2022,Autonomous In-Situ Soundscape Augmentation Via Joint Selection of Masker And Gain,10.1109/LSP.2022.3194419,Article,"KN Watcharasupat, K Ooi, B Lam, T Wong, ZT Ong, WS Gan",ieee signal processing letters,"29, 1749-1753",3,1.67E+19,35N4QoGY0k4C,3.9,6.2,NA,NA,https://doi.org/10.48550/arXiv.2204.13883,NA,NA,NA,IEEE Signal Proc Lett,0
2022,Quantitative Evaluation Approach for Translation of Perceptual Soundscape Attributes: Initial Application to The Thai Language,10.1016/j.apacoust.2022.108962,Article,"KN Watcharasupat, S Jaratjarungkiat, B Lam, S Jitwiriyanont, K Ooi, ...",applied acoustics,"200, 108962",9,1.73E+19,J_g5lzvAfSwC,3.4,6.4,NA,NA,https://doi.org/10.48550/arXiv.2203.12245,NA,NA,NA,Appl Acoust,0
2018,A Wavenumber Approach to Analysing the Active Control of Plane Waves with Arrays of Secondary Sources,10.1016/j.jsv.2018.01.028,Article,"SJ Elliott, J Cheer, B Lam, C Shi, WS Gan",journal of sound and vibration,,42,9.89E+18,ufrVoPGSRksC,4.7,8.6,https://hdl.handle.net/10356/86078,https://www.researchgate.net/publication/322628127_A_wavenumber_approach_to_analysing_the_active_control_of_plane_waves_with_arrays_of_secondary_sources,NA,NA,NA,NA,J Sound Vib,0
2020,"Quality Assessment of Acoustic Environment Reproduction Methods for Cinematic Virtual Reality in Soundscape Applications (Vol 149, Pg 1, 2019)",10.1016/j.buildenv.2020.106830,Correction,"JY Hong, B Lam, ZT Ong, K Ooi, WS Gan, J Kang, J Feng, ST Tan",building and environment,176,0,NA,e5wmG9Sq2KIC,7.4,11.3,NA,NA,NA,NA,NA,NA,Build Environ,0
2023,Crossing the Linguistic Causeway: Ethnonational Differences on Soundscape Attributes in Bahasa Melayu,10.48550/arXiv.2307.03647,Preprint,"B Lam, J Chieng, K Ooi, ZT Ong, KN Watcharasupat, JY Hong, WS Gan",arxiv preprint arxiv:,:2307.03647,0,NA,D03iK_w7-QYC,NA,NA,NA,NA,https://doi.org/10.48550/arXiv.2307.03647,NA,https://doi.org/10.21979/N9/9AZ21T,https://github.com/ntudsp/satp-zsm-stage2,arXiv,1
2023,Active Noise Control in The New Century: The Role And Prospect of Signal Processing,10.48550/arXiv.2306.01425,Preprint,"D Shi, B Lam, WS Gan, J Cheer, SJ Elliott",arxiv preprint arxiv:,:2306.01425,0,NA,cFHS6HbyZ2cC,NA,NA,NA,NA,https://doi.org/10.48550/arXiv.2306.01425,NA,NA,NA,arXiv,0
