year,title,doi,url,rg,arxiv,type,authors,journal,number,total.citations,publication.date,cid,pubid,journalShort,Country,ImpactFactor,CiteScore,first
2019,Analysis of Multichannel Virtual Sensing Active Noise Control to Overcome Spatial Correlation And Causality Constraints,10.1109/ICASSP.2019.8682344,NA,NA,NA,Proceedings Paper,"D Shi, B Lam, W Gan","icassp 2019-2019 IEEE International Conference on Acoustics, Speech and",_8499-8503,16,2019,6.60E+18,4DMP91E08xMC,ICASSP 2019 - 2019 IEEE Int Conf Acoust Speech Signal Process,"Brighton, UK",NA,6.3,0
2018,Active Control of Sound Through Full-Sized Open Windows,10.1016/j.buildenv.2018.05.042,NA,NA,NA,Article,"B Lam, C Shi, D Shi, WS Gan",building and environment,"141, 16-27",64,2018,6.37E+18,ULOm3_A8WrAC,Build Environ,NA,7.093,10.7,1
2018,Physical Limits on The Performance of Active Noise Control Through Open Windows,10.1016/j.apacoust.2018.02.024,NA,NA,NA,Article,"B Lam, S Elliott, J Cheer, WS Gan",applied acoustics,"137, 9-17",54,2018,3.30E+17,UeHWp8X0CEIC,Appl Acoust,NA,3.614,5.6,1
2018,A Wavenumber Approach to Analysing the Active Control of Plane Waves with Arrays of Secondary Sources,10.1016/j.jsv.2018.01.028,https://hdl.handle.net/10356/86078,https://www.researchgate.net/publication/322628127_A_wavenumber_approach_to_analysing_the_active_control_of_plane_waves_with_arrays_of_secondary_sources,NA,Article,"SJ Elliott, J Cheer, B Lam, C Shi, WS Gan",journal of sound and vibration,"419, 405-419",41,2018,9.89E+18,ufrVoPGSRksC,J Sound Vib,NA,4.761,7.8,0
2018,A Novel Selective Active Noise Control Algorithm to Overcome Practical Implementation Issue,10.1109/ICASSP.2018.8461458,NA,https://www.researchgate.net/publication/327815031_A_Novel_Selective_Active_Noise_Control_Algorithm_to_Overcome_Practical_Implementation_Issue,NA,Proceedings Paper,"DY Shi, B Lam, WS Gan","2018 IEEE International Conference on Acoustics, Speech and Signal …",_1130-1134,23,2018,8.62E+18,IWHjjKOFINEC,ICASSP 2018 - 2018 IEEE Int Conf Acoust Speech Signal Process,"Calgary, Canada",NA,NA,0
2017,Spatial Audio for Soundscape Design: Recording And Reproduction,10.3390/app7060627,NA,NA,NA,Review,"JY Hong, J He, B Lam, R Gupta, WS Gan",applied sciences,"7 (6), 627",90,2017,9.34E+18,WF5omc3nYNoC,Appl Sci-Basel,NA,2.838,3.7,0
2017,Understanding Multiple-Input Multiple-Output Active Noise Control From a Perspective of Sampling And Reconstruction,10.1109/APSIPA.2017.8282013,NA,https://www.researchgate.net/publication/323195520_Understanding_multiple-input_multiple-output_active_noise_control_from_a_perspective_of_sampling_and_reconstruction,NA,Proceedings Paper,"C Shi, H Li, D Shi, B Lam, WS Gan",asia-pacific signal and information processing association annual summit and …,_124-129,12,2017,1.43E+19,UebtZRa9Y70C,2017 Asia-Pacific Signal Inf Process Assoc Annu Summit Conf (APSIPA ASC),"_Kuala Lumpur, Malaysia",NA,NA,0
2020,Soundscape Assessment: Towards a Validated Translation of Perceptual Attributes in Different Languages,NA,_https://www.ingentaconnect.com/content/ince/incecp/2020/00000261/00000003/art00018,NA,NA,Proceedings Paper,"F Aletta, T Oberman, Ö Axelsson, H Xie, Y Zhang, SK Lau, SK Tang, ...",inter-noise and noise-con congress and conference proceedings,"261 (3), 3137-3146",47,2020,1.58E+19,blknAaTinKkC,"INTERNOISE NOISE-CON Congr  Conf Proceedings, InterNoise20","_Seoul, South Korea",NA,NA,0
2016,Active Acoustic Windows: Towards a Quieter Home,10.1109/MPOT.2014.2310776,NA,NA,NA,Article,"B Lam, WS Gan",ieee potentials,"35 (1), 11-18",39,2016,1.02E+19,MXK_kJrjxJIC,IEEE Potentials,NA,NA,1.7,1
2019,Practical Implementation of Multichannel Filtered-X Least Mean Square Algorithm Based on The Multiple-Parallel-Branch with Folding Architecture for Large-Scale Active Noise Control,10.1109/TVLSI.2019.2956524,NA,NA,NA,Article,"D Shi, WS Gan, J He, B Lam",ieee transactions on very large scale integration (vlsi) systems,"28 (4), 940-953",36,2019,4.57E+18,hC7cP41nSMkC,IEEE T VLSI Syst,NA,2.775,5.9,0
2016,Selective Active Noise Control System for Open Windows Using Sound Classification,NA,_https://www.ingentaconnect.com/content/ince/incecp/2016/00000253/00000006/art00007,NA,NA,Proceedings Paper,"R Ranjan, T Murao, B Lam, WS Gan",inter-noise and noise-con congress and conference proceedings,"253 (6), 1921-1931",25,2016,1.79E+19,5nxA0vEk-isC,"INTERNOISE NOISE-CON Congr  Conf Proceedings, InterNoise16","_Hamburg, Germany",NA,NA,0
2017,Active Noise Control Systems for Open Windows: Current Updates And Future Perspectives,NA,NA,https://www.researchgate.net/publication/318851167_Active_noise_control_systems_for_open_windows_Current_updates_and_future_perspectives,NA,Proceedings Paper,"B Lam, C Shi, WS Gan","proceedings of the 24th International Congress on Sound and Vibration, 1-7",,22,2017,7.98E+18,YsMSGLbcyi4C,Proc 24th Int Congr Sound Vib,"London, UK",NA,NA,1
2021,A Mixed-Reality Approach to Soundscape Assessment of Outdoor Urban Environments Augmented with Natural Sounds,10.1016/j.buildenv.2021.107688,https://hdl.handle.net/10356/146637,NA,NA,Article,"JY Hong, B Lam, ZT Ong, K Ooi, WS Gan, J Kang, S Yeong, I Lee, ST Tan",building and environment,"194, 107688",20,2021,1.54E+18,k_IJM867U9cC,Build Environ,NA,7.093,10.7,0
2016,Feasibility Study on Decentralized Control System for Active Acoustic Shielding,NA,_https://www.ingentaconnect.com/content/ince/incecp/2016/00000253/00000007/art00026,https://www.researchgate.net/publication/307607378_Feasibility_study_on_decentralized_control_system_for_active_acoustic_shielding,NA,Proceedings Paper,"T Murao, J He, B Lam, R Ranjan, C Shi, WS Gan",inter-noise and noise-con congress and conference proceedings,"253 (7), 1106-1115",19,2016,3.74E+18,zYLM7Y9cAGgC,"INTERNOISE NOISE-CON Congr  Conf Proceedings, InterNoise16","_Hamburg, Germany",NA,NA,0
2017,Suitability of Natural Sounds to Enhance Soundscape Quality in Urban Residential Areas,NA,NA,https://www.researchgate.net/publication/318850984_SUITABILITY_OF_NATURAL_SOUNDS_TO_ENHANCE_SOUNDSCAPE_QUALITY_IN_URBAN_RESIDENTIAL_AREAS,NA,Proceedings Paper,"JY Hong, B Lam, ZT Ong, R Gupta, WS Gan, SH Chong, J Feng",proceedings of the 24th international congress on sound and vibration …,,17,2017,1.66E+19,0EnyYjriUFMC,Proc 24th Int Congr Sound Vib,"London, UK",NA,NA,0
2016,Open Loop Active Control of Noise Through Open Windows,10.1121/2.0000461,NA,NA,NA,Proceedings Paper,"C Shi, T Murao, D Shi, B Lam, WS Gan",proceedings of meetings on acoustics,"172ASA 29 (1), 030007",17,2016,1.64E+19,hqOjcs7Dif8C,J Acoust Soc Am,"Honolulu, HI, USA",NA,NA,0
2014,Feasibility of A Length-Limited Parametric Source for Active Noise Control Applications,NA,NA,https://www.researchgate.net/publication/309045737_Feasibility_of_a_length-limited_parametric_source_for_active_noise_control_applications,NA,Proceedings Paper,"B Lam, WS Gan, C Shi",proc 21st ICSV,08-Jan,15,2014,5.52E+18,Y0pCki6q_DkC,Proc 21st Int Congr Sound Vib,"Beijing, China",NA,NA,1
2015,The Physical Limits of Active Noise Control of Open Windows,NA,NA,https://www.researchgate.net/publication/286448252_The_Physical_Limits_of_Active_Noise_Control_of_Open_Windows,NA,Proceedings Paper,"B Lam, S Elliott, J Cheer, W Gan",,"12th Western Pacific Acoustics Conference, 184-189",14,2015,8.95E+18,eQOLeE2rZwMC,Proc 12th West Pacific Acoust Conf,Singapore,NA,NA,1
2020,Active Noise Control Based on The Momentum Multichannel Normalized Filtered-X Least Mean Square Algorithm,NA,_https://www.ingentaconnect.com/content/ince/incecp/2020/00000261/00000006/art00085,NA,NA,Proceedings Paper,"D Shi, WS Gan, B Lam, S Wen, X Shen",inter-noise and noise-con congress and conference proceedings,"261 (6), 709-719",13,2020,5.92E+18,bEWYMUwI8FkC,"INTERNOISE NOISE-CON Congr  Conf Proceedings, InterNoise20","_Seoul, South Korea",NA,NA,0
2016,Feasibility of The Full-Rank Fixed-Filter Approach in The Active Control of Noise Through Open Windows,NA,_https://www.ingentaconnect.com/content/ince/incecp/2016/00000253/00000005/art00080,NA,NA,Proceedings Paper,"B Lam, M Tatsuya, C Shi, WS Gan, S Elliott",inter-noise and noise-con congress and conference proceedings,"253 (5), 3548-3555",13,2016,7.07E+18,8k81kl-MbHgC,"INTERNOISE NOISE-CON Congr  Conf Proceedings, InterNoise16","_Hamburg, Germany",NA,NA,1
2017,Controlling Incident Sound Fields with Source Arrays in Free Space And Through Apertures,NA,https://www.researchgate.net/publication/318851172_Controlling_incident_sound_fields_with_source_arrays_in_free_space_and_through_apertures,NA,NA,Proceedings Paper,"S Elliott, J Cheer, B Lam, C Shi, WS Gan","proceedings of the 24th International Congress on Sound and Vibration, 1-7",,11,2017,6.43E+18,W7OEmFMy1HYC,Proc 24th Int Congr Sound Vib,"London, UK",NA,NA,0
2017,Appropriate Levels of Natural Sounds to Enhance Soundscapes in Urban Areas,NA,_https://www.ingentaconnect.com/content/ince/incecp/2017/00000255/00000003/art00091,NA,NA,Proceedings Paper,"JY Hong, B Lam, ZT Ong, R Gupta, WS Gan, SH Chong, J Feng",inter-noise and noise-con congress and conference proceedings,"255 (3), 4779-4783",9,2017,1.39E+19,Se3iqnhoufwC,"INTERNOISE NOISE-CON Congr  Conf Proceedings, InterNoise17","HongKong SAR, China",NA,NA,0
2017,3d Audio Ar/Vr Capture And Reproduction Setup for Auralization of Soundscapes,NA,https://www.researchgate.net/publication/318851185_3D_AUDIO_ARVR_CAPTURE_AND_REPRODUCTION_SETUP_FOR_AURALIZATION_OF_SOUNDSCAPES,NA,NA,Proceedings Paper,"R Gupta, B Lam, J Hong, ZT Ong, WS Gan, SH Chong, J Feng","proceedings of the 24th Intl. Congress on Sound and Vibration, ICSV24",,9,2017,1.04E+19,LkGwnXOMwfcC,Proc 24th Int Congr Sound Vib,"London, UK",NA,NA,0
2019,Practical Consideration And Implementation for Avoiding Saturation of Large Amplitude Active Noise Control,10.18154/RWTH-CONV-239900,NA,NA,NA,Proceedings Paper,"D Shi, WS Gan, B Lam, S Wen",proceedings of the international congress on acoustics,6905-6912,6,2019,7.97E+18,7PzlFSSx8tAC,Proc. 23rd Int Congr Acoust,"Aachen, Germany",NA,NA,0
2017,Effect of Masker Orientation on Masking Efficacy in Soundscape Applications,NA,_https://www.ingentaconnect.com/content/ince/incecp/2017/00000255/00000003/art00108,NA,NA,Proceedings Paper,"ZT Ong, JY Hong, B Lam, R Gupta, WS Gan, SH Chong, J Feng, K Ooi",inter-noise and noise-con congress and conference proceedings,"255 (3), 4916-4922",6,2017,2.56E+18,IjCSPb-OGe4C,"INTERNOISE NOISE-CON Congr  Conf Proceedings, InterNoise17","HongKong SAR, China",NA,NA,0
2015,Comparative Study of Cone-Shaped Versus Flat-Panel Speakers for Active Noise Control of Multi-Tonal Signals in Open Windows,NA,_https://www.ingentaconnect.com/content/ince/incecp/2015/00000250/00000006/art00069,NA,NA,Proceedings Paper,"S Fasciani, J He, B Lam, T Murao, WS Gan",inter-noise and noise-con congress and conference proceedings,"250 (6), 1109-1120",6,2015,9.48E+18,dhFuZR0502QC,"INTERNOISE NOISE-CON Congr  Conf Proceedings, InterNoise15","San Francisco, CA, USA",NA,NA,0
2019,Active Control of Noise Through Open Windows,10.32657/10220/48090,NA,NA,NA,Thesis,B Lam,"ph. d. thesis, school of electrical and electronic engineering, nanyang …",,5,2019,3.79E+18,4TOpqqG69KYC,NA,NA,NA,NA,1
2017,Validation of Binaural Recordings with Head Tracking for Use in Soundscape Evaluation,NA,https://www.ingentaconnect.com/contentone/ince/incecp/2017/00000255/00000003/art00076,https://www.researchgate.net/publication/319435678_Validation_of_binaural_recordings_with_head_tracking_for_use_in_soundscape_evaluation,NA,Proceedings Paper,"K Ooi, JY Hong, B Lam, ZT Ong, WS Gan",inter-noise and noise-con congress and conference proceedings,"255, 4651-4659",5,2017,"9,246,056,503,988,280,000,000,000,000,000,000,000",Zph67rFs4hoC,"INTERNOISE NOISE-CON Congr  Conf Proceedings, InterNoise17","HongKong SAR, China",NA,NA,0
2015,Regularisation of The Equivalent Source Method for Robust Numerical Modelling of Acoustic Scattering,NA,_https://www.ingentaconnect.com/content/ince/incecp/2015/00000250/00000006/art00056,NA,NA,Proceedings Paper,"B Lam, SJ Elliott, WS Gan","inter-noise and noise-con congress and conference proceedings, internoise",_976-987,5,2015,1.15E+19,roLk4NBRz8UC,"INTERNOISE NOISE-CON Congr  Conf Proceedings, InterNoise15","San Francisco, CA, USA",NA,NA,1
2021,Optimal Penalty Factor for The Mov-Fxlms Algorithm in Active Noise Control System,10.1109/LSP.2021.3126198,NA,NA,NA,Article,"D Shi, WS Gan, B Lam, X Shen",ieee signal processing letters,"29, 85-89",4,2021,4.68E+18,RGFaLdJalmkC,IEEE Signal Proc Let,NA,3.201,6.6,0
2022,Deployment of An Iot System for Adaptive In-Situ Soundscape Augmentation,10.3397/IN_2022_0290,NA,NA,https://doi.org/10.48550/arXiv.2204.13890,Proceedings Paper,"T Wong, KN Watcharasupat, B Lam, K Ooi, ZT Ong, FA Karnapi, WS Gan",inter-noise and noise-con congress and conference proceedings,:2204.13890,3,2022,2.98E+18,vV6vV6tmYwMC,"INTERNOISE NOISE-CON Congr  Conf Proceedings, InterNoise22","Glasgow, UK",NA,NA,0
2019,Evaluation of Preferred Levels of Natural Sounds In-Situ Environment Through an Augmented Reality Device,10.18154/RWTH-CONV-239578,NA,NA,NA,Proceedings Paper,"B Lam, J Hong, ZT Ong, K Ooi, WS Gan, S Jeong, I Lee, TT Tan",universitätsbibliothek der rwth aachen,,3,2019,1.04E+19,isC4tDSrTZIC,Proc 23rd Int Congr Acoust,"Aachen, Germany",NA,NA,1
2018,Reliability of Wrist-Worn Sensors for Measuring Physiological Responses in Soundscape Assessments,NA,_https://www.ingentaconnect.com/content/ince/incecp/2018/00000258/00000003/art00065,https://www.researchgate.net/publication/329673107_Reliability_of_wrist-worn_sensors_for_measuring_physiological_responses_in_soundscape_assessments,NA,Proceedings Paper,"B Lam, JY Hong, ZT Ong, WS Gan",inter-noise and noise-con congress and conference proceedings,"258 (3), 4630-4639",3,2018,3.54E+18,_kc_bZDykSQC,"INTERNOISE NOISE-CON Congr  Conf Proceedings, InterNoise18","Chicago, IL, USA",NA,NA,1
2016,Symmetric Design of Multiple-Channel Active Noise Control Systems for Open Windows,NA,_https://www.ingentaconnect.com/content/ince/incecp/2016/00000253/00000008/art00069,https://www.researchgate.net/publication/306379461_Symmetric_Design_of_Multiple-Channel_Active_Noise_Control_Systems_for_Open_Windows,NA,Proceedings Paper,"J He, T Murao, R Ranjan, WS Gan",inter-noise and noise-con congress and conference proceedings,"253 (8), 613-622",3,2016,1.73E+19,9ZlFYXVOiuMC,"INTERNOISE NOISE-CON Congr  Conf Proceedings, InterNoise16","_Hamburg, Germany",NA,NA,0
2023,Araus: A Large-Scale Dataset And Baseline Models of Affective Responses to Augmented Urban Soundscapes,10.1109/TAFFC.2023.3247914,NA,NA,https://doi.org/10.48550/arXiv.2207.01078,Article,"K Ooi, ZT Ong, KN Watcharasupat, B Lam, JY Hong, WS Gan",ieee transactions on affective computing,,2,2023,1.29E+19,pqnbT2bcN3wC,IEEE T Affect Comput,NA,13.99,16.3,0
2022,Assessment of A Cost-Effective Headphone Calibration Procedure for Soundscape Evaluations,NA,NA,https://www.researchgate.net/publication/362277034_Assessment_of_a_cost-effective_headphone_calibration_procedure_for_soundscape_evaluations,https://doi.org/10.48550/arXiv.2207.12899,Proceedings Paper,"B Lam, K Ooi, ZT Ong, KN Watcharasupat, T Wong, WS Gan",proceedings of the international congress on acoustics,08-Jan,2,2022,6.95E+18,ZHo1McVdvXMC,Proc 24th Int Congr Acoust,"_Gyeongju, South Korea",NA,NA,1
2021,Development of A Feedback Interface for In-Situ Soundscape Evaluation,10.3397/IN-2021-2084,NA,https://www.researchgate.net/publication/353581329_Development_of_a_feedback_interface_for_in-situ_soundscape_evaluation,NA,Proceedings Paper,"FA Karnapi, B Lam, T Wong, K Ooi, ZT Ong, WS Gan, J Hong, S Yeong",inter-noise and noise-con congress and conference proceedings,"263 (4), 2253-2258",2,2021,8.63E+18,ns9cj8rnVeAC,"INTERNOISE NOISE-CON Congr  Conf Proceedings, InterNoise21","Washington, DC, USA",NA,NA,0
2020,A Deep Learning Approach for Modelling Perceptual Attributes of Soundscapes,NA,_https://www.ingentaconnect.com/contentone/ince/incecp/2020/00000261/00000003/art00064,https://www.researchgate.net/publication/344609366_A_deep_learning_approach_for_modelling_perceptual_attributes_of_soundscapes,NA,Proceedings Paper,"K Ooi, J Hong, B Lam, ZT Ong, WS Gan",inter-noise and noise-con congress and conference proceedings,"261 (3), 3580-3589",2,2020,1.80E+19,j3f4tGmQtD8C,"INTERNOISE NOISE-CON Congr  Conf Proceedings, InterNoise20","_Seoul, South Korea",NA,NA,0
2019,Influence of Parametrically-Decoded First-Order Ambisonics Reproduction in Cinematic Virtual-Reality-Based Soundscape Evaluation,NA,_https://www.ingentaconnect.com/content/ince/incecp/2019/00000259/00000002/art00068,https://www.researchgate.net/publication/333984865_Influence_of_Parametrically-decoded_First-order_Ambisonics_Reproduction_in_Cinematic_Virtual-Reality-based_Soundscape_Evaluation,NA,Proceedings Paper,"B Lam, JY Hong, ZT Ong, WS Gan, J Kang, J Feng, ST Tan",inter-noise and noise-con congress and conference proceedings,"259 (2), 7592-7603",2,2019,1.82E+19,QIV2ME_5wuYC,"INTERNOISE NOISE-CON Congr  Conf Proceedings, InterNoise19","Madrid, Spain",NA,NA,1
